Image,Class,Baseline_Dice,Geo_Dice,Baseline_Se,Geo_Se,Baseline_Precision,Geo_Precision,Baseline_FN,Geo_FN
26.tif,thin,0.6394511383396271,0.6343377901927947,0.5855838959703327,0.596149037255588,0.7042327644485058,0.6777540867044936,6629,6460
26.tif,medium,0.804907428057975,0.7830246108323201,0.953594080328186,0.9517970401590718,0.696333461978415,0.6650908553651567,439,456
26.tif,thick,0.5105230769167936,0.47173713234752135,0.9796882380264673,0.969768540341532,0.34520639147228355,0.31167451039453964,43,64
35.tif,thin,0.7822410147971375,0.7789841123154463,0.7754830794357658,0.7757386770229233,0.7891177694507432,0.7822568173576872,4392,4387
35.tif,medium,0.7968213479800018,0.7879319588595411,0.9892813641779624,0.984531059671321,0.6670499342914992,0.656780693908696,88,127
35.tif,thick,0.2929891872986922,0.28455284552363563,0.9999999998809525,0.9999999998809525,0.1716387413123899,0.16587677724790922,0,0
40.tif,thin,0.74788314987101,0.7477634907781545,0.814196001608491,0.8258915711192839,0.6915586004370367,0.6831395348804654,3225,3022
40.tif,medium,0.6864767117898124,0.6774131644565466,0.9843027329925116,0.9894884372671411,0.5270148581680398,0.5149901524508352,112,75
40.tif,thick,0.13854351687199695,0.13277683578801647,0.9960707267198289,0.9999999998035363,0.07444933920595523,0.07110924839241256,2,0
