Image,Base_Dice,Geo_Dice,Delta_Dice,Base_IoU,Geo_IoU,Delta_IoU,Base_Se,Geo_Se,Delta_Se,Base_Precision,Geo_Precision,Delta_Precision
26.tif,0.7874694466590881,0.7815180420875549,-0.005951404571533203,0.6494429707527161,0.6413866281509399,-0.008056342601776123,0.7421028017997742,0.7468538284301758,0.004751026630401611,0.838744044303894,0.8195566534996033,-0.01918739080429077
35.tif,0.8497482538223267,0.8465240597724915,-0.003224194049835205,0.7387497425079346,0.733889639377594,-0.004860103130340576,0.8434223532676697,0.8422340154647827,-0.0011883378028869629,0.8561697006225586,0.8508579730987549,-0.005311727523803711
40.tif,0.8179587125778198,0.818015456199646,5.6743621826171875e-05,0.6919882297515869,0.6920695304870605,8.130073547363281e-05,0.8664453625679016,0.8761249780654907,0.009679615497589111,0.7746111154556274,0.7671347856521606,-0.007476329803466797
