category,MAE,RMSE,Correlation
thin,0.04719740649064382,0.0656404085457325,0.3591621278704229
medium,0.08481448640426,0.10203020771344502,0.4950980985041777
thick,0.14081801970799765,0.1696780671676,0.16843326356351654
