epoch,train_loss,train_seg,train_geo,val_loss,val_dice,val_iou,val_se,val_sp,val_precision,val_acc,lr
1,0.44053537845611573,0.42913336745330266,0.1140201052863683,0.2399453967809677,0.7444266133347256,0.5936636419629169,0.7449619793190859,0.9774325702554792,0.746523215596408,0.9582969652886928,0.0005
2,0.3103952036159379,0.3054236886756761,0.04971515298421894,0.2060579707225164,0.7585214853419994,0.6121650944259653,0.765148176897179,0.9777947191897911,0.7541295329812386,0.9602689214854033,0.0005
3,0.2658158940076828,0.2616777534144265,0.041381412031395094,0.19861393670241037,0.7634064765103782,0.6185661068841353,0.7454842250558698,0.9818477359052559,0.7849640695120383,0.9624348405867087,0.0005
4,0.24931916173015323,0.24554751915591103,0.037716422309832916,0.17994436621665955,0.7818420048132504,0.6426242435124436,0.751174835608687,0.9851563411911424,0.8188210757632558,0.9658423243221108,0.0005
5,0.2457862372483526,0.24226242691278457,0.035238103076283424,0.19256369272867838,0.7687808154116107,0.6247155599432133,0.7838514618772918,0.9774724950741218,0.7570983714964945,0.9614670465106591,0.0005
6,0.2324774328299931,0.22899155472006116,0.03485877823350685,0.1822486271460851,0.7806183162839758,0.6406648153847674,0.7909091559291931,0.9792747967978763,0.7746984442393091,0.9637612639915657,0.0005
7,0.22284728309937885,0.21945490334715162,0.03392379604812179,0.17565677563349405,0.7917206462119429,0.655899090565967,0.8389685706299717,0.9752808696487286,0.7522960365551924,0.9639986665050015,0.0005
8,0.22324480674096517,0.21998246776206154,0.03262339093589357,0.1716895898183187,0.7920460480600161,0.656472573892418,0.8134262060062869,0.9789518121851595,0.7762445095836897,0.9652715480664029,0.0005
9,0.215800014095647,0.21266098650438445,0.031390275891338075,0.16729242106278738,0.7997069057678275,0.6670964490307986,0.832398647344236,0.9780707641069708,0.7720557970167402,0.9660372974501666,0.0005
10,0.2130659746485097,0.2099446323939732,0.03121342151558825,0.1855595757563909,0.7753020461083789,0.6342911631404731,0.7679045017353809,0.9814344989618259,0.7875170097022699,0.9639037054996272,0.0005
11,0.21418598077126913,0.21108011782169342,0.03105862734573228,0.1659246732791265,0.7994406829638248,0.6666798106732368,0.8189018256704871,0.9798131935039273,0.7834554035428879,0.9665070513597315,0.0005
12,0.2145523498952389,0.21142009424311775,0.03132255631365946,0.17592197159926096,0.7885960486057985,0.6514766376861151,0.8436537187331098,0.9738406432226787,0.7432278364645287,0.9630652200266407,0.0005
13,0.20548405591930663,0.20246051935212953,0.030235367827117443,0.1942352056503296,0.7702911081871284,0.6272302968646496,0.7660507017971682,0.980406423964915,0.7781346735171072,0.9627581120943661,0.0005
14,0.21260119627629007,0.20963895312377384,0.029622432424553802,0.16432468593120575,0.8005251456439377,0.668157534490994,0.8314350300151269,0.9784089084179572,0.7748880273307561,0.9662625772820655,0.0005
15,0.20236075714230536,0.19949697441288403,0.028637832759746483,0.1733764261007309,0.7922914058810783,0.6566624360520192,0.8488765750858415,0.9740473510618931,0.7452181986175219,0.9637087323715714,0.0005
16,0.20548959074275835,0.2025253203724112,0.02964270640696798,0.17063280940055847,0.7956855595192199,0.6611893273102145,0.838382551991014,0.9762811598905277,0.7597723194242478,0.9649007960560584,0.0005
17,0.2060412037372589,0.20319164054734365,0.028495633705918278,0.17103668053944907,0.7932353887987267,0.6587825922216359,0.7902653086867235,0.9824731509197848,0.801321806859736,0.9666404008566402,0.0005
18,0.19846355382885253,0.19548111792121614,0.02982436124501484,0.18108921746412912,0.7843066643839488,0.6458245067379766,0.8546355019009061,0.9712733979585154,0.7270600760337779,0.961624641370642,0.0005
19,0.19692699996488436,0.1940555141866207,0.028714857822550195,0.16942496101061502,0.7959090944220885,0.6617830337263059,0.82622711368758,0.9780131820426821,0.7712440334865769,0.9654483371721532,0.00025
20,0.19317646946225847,0.1905044381107603,0.026720313067947116,0.17560747265815735,0.7894727797834921,0.6528026368846479,0.8586965720695395,0.9719937410882357,0.7328964804183075,0.9626328443851487,0.00025
21,0.19354033919317382,0.19082553789019585,0.027148019008870636,0.16969249149163565,0.7957720458953169,0.6615518223983231,0.8245689114479564,0.9782078945943807,0.772605786165717,0.9655190528144533,0.00025
22,0.18990203410387038,0.1872052945622376,0.026967395714351108,0.16580025851726532,0.7975119171783156,0.6638803964254931,0.8184518462616334,0.9793767753546536,0.7808766940586643,0.9660787166120853,0.00025
23,0.19150585483227459,0.18877306682722908,0.027327879393207175,0.17054678002993265,0.7939686006708078,0.6591906377149931,0.8115294974222204,0.9795985778987282,0.7804291772714614,0.9657544348809664,0.00025
24,0.18909956929939134,0.18646026626229287,0.026393028226281916,0.16655891140302023,0.7984608125045178,0.6652847676782242,0.8246200667877543,0.978855301168933,0.7776535021142523,0.9661080130924667,0.000125
