epoch,lambda_geo,train_loss,train_seg,train_geo,val_loss,val_dice,val_iou,val_se,val_sp,val_precision
1,0.05,0.42702736377716066,0.42283109545707703,0.08392534590193204,0.30824442704518634,0.61213328396969,0.451919975882475,0.5167312739879781,0.9883419379685451,0.8072837949293424
2,0.05,0.3054723532285009,0.303330483351435,0.042837402911058496,0.20448600252469382,0.7541274959496075,0.605842987577668,0.7766601522469877,0.9749908929281396,0.7358900906278686
3,0.05,0.25563625318663463,0.25372766745941977,0.03817172019077199,0.21947776774565378,0.7446988180708282,0.5941529935598533,0.8590813556837306,0.9602104846479961,0.6586712449594686
4,0.05,0.24701325535774232,0.24516026662928717,0.037059778033622676,0.17821402847766876,0.7827646866790241,0.6439519141516447,0.7708702554015897,0.9826017969837625,0.7983988262336631
5,0.05,0.23139383584260942,0.22964473620057105,0.03498198697609561,0.19757445653279623,0.7665655028956833,0.6219555344113826,0.852619560442062,0.9670438781110833,0.6973972453718296
6,0.05,0.227281612519707,0.2255435973405838,0.03476029860654047,0.17039241393407187,0.7934994459584189,0.6583091450060697,0.7886531671177122,0.9825241895451073,0.8013630128541439
7,0.05,0.22504033348390035,0.2233950980220522,0.03290471291435616,0.1699956109126409,0.7948543752007726,0.659887648817928,0.8383044455540946,0.9761158511233897,0.7598668882737826
8,0.05,0.2125046111856188,0.21087984894003187,0.03249524750081556,0.1829658399025599,0.7800273202239464,0.6399051549227651,0.7762110989257162,0.981180985992056,0.787421500335132
9,0.05,0.21568487050277846,0.2140237905723708,0.03322160443024976,0.16786026457945505,0.7975003312814799,0.6636579516558552,0.8297988378780071,0.9778443296873403,0.7695837782363895
10,0.05,0.2205705370221819,0.21897442470703807,0.031922246026141306,0.17580810685952505,0.7879768048789219,0.6506467307542237,0.8537131858544983,0.9723078435465807,0.734576867813077
11,0.05,0.21398679198963302,0.2124529154385839,0.030677545206355197,0.17057126263777414,0.7912858439008854,0.6553119466762605,0.7904884316134181,0.9817821816624566,0.7954732597553256
12,0.05,0.20862422836678368,0.2070204237316336,0.032076088953763245,0.16160575052102408,0.8014666345005109,0.6694990996106446,0.8050219703581937,0.9821333974339868,0.8007003990692403
13,0.05,0.2105214805475303,0.20891722530126572,0.03208510104566813,0.16960901021957397,0.7953825159392016,0.6607894544311205,0.8460584167073032,0.9751646605770357,0.7530358034971179
14,0.05,0.19727361738681792,0.19570506051182746,0.0313711388808276,0.21081797778606415,0.7542462191731087,0.6063497932876211,0.8603983723944993,0.9625786977684867,0.6744404716269122
15,0.05,0.2048671778185027,0.20328706473112107,0.03160225822723338,0.17797843118508658,0.7846592053540137,0.6462230999444079,0.8487291514210623,0.9722229256389171,0.7320361148360384
16,0.05,0.20708989147629056,0.20550567665270397,0.03168429712897965,0.17576911052068075,0.7845545164957798,0.6464184651045791,0.7747123056891697,0.9825547319045285,0.7997492632688483
17,0.05,0.21266075502548898,0.21109270206519534,0.03136106726048248,0.1752692312002182,0.7878268245908228,0.6506333239177718,0.8599137276092699,0.9714106779731456,0.7301230550926067
18,0.05,0.202993021607399,0.2014885225892067,0.030089982069496597,0.1648129572470983,0.799780531843068,0.6670049019353147,0.8373483860714407,0.9774108070954514,0.7683307873802837
19,0.05,0.19918253315346582,0.19761686627353942,0.03131334132381848,0.17654748260974884,0.7889511921220134,0.6520259102054461,0.783878422615782,0.9821469413560336,0.7968394482225732
1,0.2,0.4420818954706192,0.4259185244355883,0.08081684919872455,0.2636522551377614,0.6939528846562824,0.5348475962397886,0.6643575066916992,0.9790735860867952,0.7447383155028792
2,0.2,0.31142267035586496,0.30291530162096025,0.0425368438235351,0.22122746209303537,0.7331453491449186,0.5798966116737787,0.6968932206795552,0.9821825836395962,0.7775353496990146
3,0.2,0.2657900964362281,0.25813686358077187,0.038266163202268735,0.19780142108599344,0.7696985324620567,0.6262332895505215,0.7947748672703244,0.9761667289308157,0.7495638553066346
4,0.2,0.24971700131893157,0.24233219755547386,0.03692401884389775,0.20434567828973135,0.755497228517274,0.6085578783872196,0.716961904715182,0.9843009762183218,0.8042149557265175
5,0.2,0.23304817291242735,0.2261128387067999,0.03467666975621666,0.18763640026251474,0.7804114796759949,0.6403141816603765,0.8288883814636162,0.9739185231310246,0.7397535363032078
6,0.2,0.2334488398901054,0.22645563883440836,0.0349660029102649,0.20541503528753915,0.7666082472844721,0.6226916565593452,0.7472500310829521,0.9822514515583117,0.7894413261593854
7,0.2,0.22964593785149712,0.2231499276629516,0.032480049870376074,0.17362266778945923,0.7940506270261097,0.6591792142734759,0.8011657782282299,0.9809820518791303,0.789958243384613
8,0.2,0.21797610768250056,0.2115084415248462,0.03233833082552467,0.17424278457959494,0.7947610187829195,0.6600525837853336,0.8289623767877701,0.9773240233413292,0.7650625948017685
9,0.2,0.22464044962610516,0.21798267866883958,0.03328885376187307,0.17185020943482718,0.7931299937316854,0.6577983206398932,0.7668536500281194,0.985412645129994,0.8242928880975784
10,0.2,0.22221051616328102,0.2159324215565409,0.03139047483780554,0.17696035901705423,0.7908913002734531,0.6544862500158714,0.8322527389746136,0.9759576903255773,0.7562090611837821
11,0.2,0.21778644868305752,0.21171751409769057,0.030344672958765712,0.16961215436458588,0.7991919828170143,0.6663531358061684,0.8237123006825263,0.9791086175227157,0.7784218733888252
12,0.2,0.2132686658203602,0.2069037526845932,0.031824565293001275,0.16468602418899536,0.8031125452757459,0.6717645274583722,0.8079500243700953,0.9820630357562846,0.800495505346939
13,0.2,0.21330855458974837,0.20702798600707736,0.03140284246632031,0.1648664673169454,0.8050006493456228,0.6743469074932644,0.8356469446421899,0.9788400611169917,0.7789699823217019
14,0.2,0.20364879759294646,0.19744591719337873,0.031014402668390954,0.16596078872680664,0.802475598533341,0.6707100815253609,0.8202853435085461,0.9803000284899738,0.7881232933175557
15,0.2,0.206855769689594,0.20071041392428535,0.03072677953434842,0.18129494289557138,0.7872066232563526,0.6492899120793204,0.7824793265043543,0.9818919857195524,0.794268081197305
16,0.2,0.20798237651586532,0.20185591178280968,0.030632322635501624,0.16929293175538382,0.7997523054929863,0.6670680695768598,0.8217582616051159,0.9795098901454669,0.7821477591293768
17,0.2,0.20854249579565864,0.20248485605631555,0.030288197411490338,0.21099636455376944,0.7559240966852854,0.6084473369035859,0.7566312445085613,0.9783976207890689,0.7601057039929059
18,0.2,0.20730453523141998,0.20141893695507732,0.029427989864987986,0.16883117457230887,0.7987409736377132,0.6656315647121686,0.8363570955360881,0.9772912196769029,0.766950810013915
19,0.2,0.20303523084947042,0.19689707655991825,0.030690772834100894,0.16711211204528809,0.8013787401205308,0.6696017555344547,0.8047470621963382,0.9821711966618745,0.8010372594266029
20,0.2,0.20329194247722626,0.19725800948483604,0.030169663942818132,0.16941200693448386,0.7980074444548304,0.6649927826333307,0.826421878679619,0.9784741609589886,0.7736252017625964
1,0.5,0.4723461230312075,0.43228853157588415,0.0801151812981282,0.28506653507550556,0.6903722698329301,0.5304594824204448,0.7084314797132008,0.9706561748477075,0.6834577626732997
2,0.5,0.3267005049756595,0.3057491244162832,0.04190276123583317,0.25761396686236065,0.7153017783757747,0.5576263347952839,0.7981456684787012,0.9616087899519307,0.6504374540186141
3,0.5,0.2766726879136903,0.25784466990402766,0.03765603505074978,0.21678683161735535,0.756917216327447,0.609561768244426,0.7702247891566699,0.9766963705081251,0.7468736670750052
4,0.5,0.2637837933216776,0.24555437271084105,0.03645884177248393,0.1920696496963501,0.7875955173480529,0.6502987273602648,0.8185379257764889,0.9770853161063714,0.7614908229351016
5,0.5,0.24359038908566746,0.22664677551814488,0.0338872264112745,0.19594651460647583,0.7809134191656092,0.6410969263240648,0.836985252063369,0.9728714499036575,0.7350974797171251
6,0.5,0.25174113882439475,0.23439929368240492,0.034683689810335636,0.17997038861115774,0.7972874371687113,0.6635782963750539,0.7830008768479044,0.9841616235224552,0.8153708351174225
7,0.5,0.24078388184309005,0.22481076838714736,0.031946226768195626,0.19649283587932587,0.778648570701912,0.6386609313969538,0.747793029651858,0.98507204469349,0.8186990631233243
8,0.5,0.22797270238399506,0.2120930989086628,0.03175920733649816,0.19556513925393423,0.7838431790031611,0.6452345865400675,0.8279768645091744,0.9748683760558787,0.7469464430068725
9,0.5,0.22711885843958174,0.21115340486168863,0.03193090604485146,0.18621834615866342,0.7912017658330418,0.6550954735308889,0.8170493250563432,0.9781257139111362,0.7692118913342144
10,0.5,0.2297287476701396,0.21456012804593358,0.030337239357509784,0.18098478515942892,0.7973991860412379,0.6635482981722776,0.8401314557749977,0.9764415084033699,0.7622864550046247
11,0.5,0.22584034902708872,0.21108459436467716,0.02951150920242071,0.17819799979527792,0.8004816097333265,0.6680143224210537,0.8129026288246419,0.9808585343075901,0.7917867964947378
12,0.5,0.21862829610705375,0.2033294831429209,0.030597626101225614,0.19295685489972433,0.7889362042731541,0.6518473843480809,0.7536188690490627,0.9862695306562005,0.8307209534600967
13,0.5,0.2240340890416077,0.20873408624104092,0.030600004845431874,0.18337726096312204,0.7963393132847271,0.6620686211530438,0.8372973920663647,0.9765923069335268,0.7622707337044553
14,0.5,0.21253819014344896,0.1975660359433719,0.029944307820073197,0.17692514757315317,0.8014228252045839,0.6692331502937326,0.8262703865967312,0.9792955808475917,0.7820277351700141
15,0.5,0.21308104940823147,0.19824776462146215,0.02966656887105533,0.18080608050028482,0.7982617070422978,0.6649519753060166,0.8523431966994203,0.9750136354177967,0.7535616980639764
16,0.5,0.2158665371792657,0.20103599791015897,0.029661078248173,0.20620066920916238,0.7805750350349553,0.6403250359257124,0.7473504038820541,0.9853360818640264,0.8224000399821945
17,0.5,0.21740794139248984,0.20276073979479925,0.02929440333374909,0.19227595627307892,0.7867765897318401,0.6491579534212414,0.8579470310898075,0.9714160734723903,0.7292908429525843
18,0.5,0.21586163729429245,0.2017087654343673,0.02830574516473072,0.17937859892845154,0.7998709480395624,0.6671305511909904,0.8441153816728516,0.9765214678657858,0.7632088345173184
19,0.5,0.20864231050014495,0.19388821395380157,0.02950819314058338,0.17829832434654236,0.7991643180839209,0.6663898567058212,0.7875610286710408,0.984010658441512,0.8150583107239231
20,0.5,0.20998541866030013,0.19544706414852825,0.029076708031019995,0.17548746864000955,0.8043651595623905,0.6732994201736321,0.8392547685040593,0.9782009138006762,0.7760548848389793
21,0.5,0.20481706523469517,0.1906653465117727,0.028303437661379577,0.18761174380779266,0.7927509045325424,0.6572820968490546,0.849390304907728,0.9740869927687134,0.7463518411844499
22,0.5,0.20791635315333093,0.19366929933428764,0.02849410778443728,0.180471862355868,0.797023471386161,0.6631626161293247,0.8471809733986455,0.9754073086302059,0.7554263637325858
23,0.5,0.20157817819288798,0.1876523178602968,0.027851719265537603,0.17870663106441498,0.8009569540319009,0.6684754891475042,0.8257660780474483,0.9792259265406326,0.7815540530718619
24,0.5,0.20369696474501064,0.1896307455429009,0.02813243727066687,0.1896789570649465,0.7897111644540845,0.6532543499486846,0.8522630353993684,0.9729331876986379,0.73890796082009
25,0.5,0.20245786858456474,0.18839663396988596,0.028122470301709005,0.1840465913216273,0.7944854384802383,0.6595931426834272,0.8664305210815141,0.9722022918260792,0.7369743200290478
26,0.5,0.2011416994886739,0.18715341197592872,0.027976574703518834,0.17793981730937958,0.7999328357051209,0.6671527377359513,0.8352011669669595,0.9777277071757909,0.7709744359886601
27,0.5,0.20317671860967362,0.1893289434484073,0.02769555076956749,0.18749109903971353,0.7914400597239984,0.655651263322952,0.866367529824807,0.9714269828521979,0.7311318238912076
