Epoch,Train_Loss,Train_Seg,Train_Geo,Val_Loss,Dice,IoU,Se,Sp,Precision,ACC,LR
1,0.3509662813250569,0.33801718120989593,0.06474550181756848,0.25540824234485626,0.7678376434653456,0.6235614444700043,0.7785326444452928,0.9801161812012188,0.7612219347632921,0.9646916797992793,0.0005
2,0.17422415272913117,0.1685301862333132,0.02846983288401279,0.19954022268454233,0.7784533422347537,0.6376104759698297,0.764928066255755,0.9841441928843273,0.7959419324464644,0.9673819048770658,0.0005
3,0.10682065115458723,0.10317828797775766,0.018211814871840717,0.20849327743053436,0.765141244281609,0.6201774440883492,0.741997477666471,0.984480143307429,0.7933990420330662,0.9659231421987617,0.0005
4,0.06828961283832356,0.06560186717821204,0.013438729103654623,0.21224004526933035,0.7705700311467836,0.6276557368569117,0.8016148910313663,0.977865519154485,0.7448800143996038,0.9643916434312348,0.0005
5,0.048210634296571,0.04591977885127931,0.011454276990253424,0.2306220978498459,0.7614305877313221,0.6167084240879056,0.8234564082977416,0.9731192484076302,0.7127618378902413,0.9616620196384527,0.0005
6,0.033474903202791145,0.031493151951851185,0.009908756308689497,0.22106931110223135,0.7754127435317876,0.6338336568317836,0.7850880802837188,0.9809914992773542,0.7689543058705987,0.9660453792375946,0.00025
7,0.019564730351439852,0.01794119751539783,0.008117664541266318,0.22877111037572226,0.7741632436855808,0.6322331732234652,0.7841487782888125,0.980842282371523,0.767304472706185,0.965839293651463,0.00025
8,0.015760393934729305,0.014216529860066763,0.007719320353066576,0.23632621268431345,0.7724187544602841,0.6301227540867788,0.800546597662751,0.9784050736487208,0.749552047644268,0.9648199781788809,0.00025
9,0.01125358228666195,0.0097748805174901,0.00739350860627989,0.2416385958592097,0.772672791700507,0.6304565857504286,0.7952481114685401,0.9791489025394297,0.7545577759943033,0.9651129429826953,0.00025
10,0.01048865261744114,0.009006211773721852,0.007412204167981079,0.2467911789814631,0.772374423062622,0.6299980828453141,0.7882794169969162,0.9799935579779832,0.7604744491234293,0.9653553966134384,0.000125
11,0.006800884701500552,0.0054765190841441136,0.006621827894443835,0.2507190356651942,0.7711407103488158,0.628399511421506,0.7927634406041294,0.9791448181588654,0.7539414650546004,0.9649179698546395,0.000125
12,0.0057180992941763525,0.004441133317321647,0.0063848297476120615,0.2526404509941737,0.7726162764628687,0.630352751053472,0.7949731623637325,0.9791493692452832,0.7544947031361576,0.965111932759234,0.000125
