epoch,train_loss,Dice,IoU,Se,Sp,Precision,ACC,loss,lr
1,0.28343881287358025,0.7819022155066123,0.6423795011608489,0.781423036656958,0.9828921038407161,0.7868877405378726,0.9673889764412956,0.19420587023099264,0.0005
2,0.11317952418869191,0.7845230976685228,0.6458218989861207,0.7940269960295095,0.9816644987883363,0.7771718608861916,0.9673121994582271,0.1863545129696528,0.0005
3,0.055744098099795254,0.7799278819618186,0.6398584058372344,0.8013611568163573,0.9798625390275792,0.7623593321052099,0.9661979229802705,0.20596921940644583,0.0005
4,0.03181294456801631,0.7817304425987345,0.6423362134814241,0.7976084522990968,0.9807223894709342,0.768995076810934,0.966747484543288,0.22036208709081015,0.0005
5,0.018974720012735237,0.7770316120628232,0.6361617278593186,0.8048998383785567,0.9787990313577665,0.7537648523223416,0.9655150119203443,0.24745187163352966,0.0005
6,0.010949082144282082,0.774908288161735,0.6330844050158282,0.7904277867517121,0.9802171167828148,0.763048985804609,0.9656796783445571,0.2590457648038864,0.00025
7,0.0047497358139265665,0.7738284199285678,0.6317907532210891,0.7958550631291788,0.9792792160466219,0.755740104099451,0.9652624560549868,0.269756739338239,0.00025
8,0.003549844667061486,0.772940361306377,0.6305549718247506,0.7920130565623239,0.9795743573469075,0.7575074935230787,0.9652372004684512,0.27527880171934765,0.00025
9,0.002466246562332592,0.7710868106420543,0.6281490605046797,0.7933470300616733,0.9790141519498784,0.7529810345055611,0.9648169475084964,0.28653377294540405,0.00025
10,0.002375723895701495,0.770929538673685,0.6278945900513531,0.7883925306081706,0.9796038142615987,0.7570678536031624,0.9649836343796324,0.2912600338459015,0.000125
11,0.0011794663957235489,0.768340702793497,0.6244816768380731,0.7881874040792006,0.9790651858549574,0.7522387114908287,0.9644754919785333,0.2970737814903259,0.000125
12,0.0012787145346572454,0.7680886252189004,0.6241697143527912,0.7907421306763509,0.9786903261173037,0.7495516156990846,0.9643158766716277,0.3026379545529683,0.000125
