threshold,Se,Sp,Precision,F1,ACC,FPR,AUC,PR_AUC
0.3,0.8768879736146454,0.9735113031731721,0.719936715738017,0.7906990066019488,0.9665489196777308,0.026488696826823796,0.9861360340488724,0.8926826194073397
0.35,0.8590736554556887,0.9771482318738304,0.7448464846851549,0.7978925837238036,0.9686401367187464,0.02285176812616561,0.9866435592908116,0.893244365013565
0.4,0.8403646508869655,0.9803091163295058,0.7681984920488599,0.8026627495695456,0.9702251434326136,0.019690883670490152,0.9871827087187505,0.895012315823507
0.45,0.8202474416732848,0.9830535648437586,0.7898522649646318,0.8047629559413381,0.9713222503662073,0.016946435156237408,0.9860995003894211,0.89003702093393
0.5,0.7995796562074402,0.9854670845003161,0.810330119589842,0.8049189938179278,0.9720726013183557,0.014532915499679907,0.9859403878053937,0.886968604111997
0.55,0.7769425018396247,0.987645459676623,0.8300285048525649,0.8026086599854855,0.9724628448486292,0.012354540323372942,0.9860782571266703,0.8890927436767996
0.6,0.7521983345067973,0.989581290721203,0.848628373818105,0.7975089946733348,0.9724761962890589,0.010418709278792926,0.9866326001765265,0.8921211677849898
