category,baseline_dice,geo_dice,delta_dice,baseline_sensitivity,geo_sensitivity,delta_sensitivity,baseline_precision,geo_precision,delta_precision
thin,0.5641222495230145,0.5654969099361874,0.0013746604131729123,0.7279960897278679,0.7347409957812009,0.006744906053333,0.46091528181248426,0.46015766780723694,-0.0007576140052473201
medium,0.44976199829759467,0.4447816456021369,-0.004980352695457768,0.9791156155480812,0.9785577888423855,-0.0005578267056957076,0.294454402338371,0.2898516036774657,-0.004602798660905294
thick,0.08174587169153358,0.07989063099091513,-0.0018552407006184463,0.9954337899422678,0.9948039678670071,-0.0006298220752607442,0.04345638596127641,0.042369420319420974,-0.001086965641855439
